location,station_name,aqi,pm25,pm10,temperature,humidity,wind,timestamp
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",14,14,10,29,83,0.7,2026-08-07T18:39:21.351200
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",8,8,5,28.5,81,0.7,2026-08-07T18:39:21.994695
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",49,49,,27,88,2.8,2026-08-07T18:39:22.635240
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",51,47,51,26.5,81.6,2,2026-08-07T18:39:23.302857
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",20,13,20,28.4,85.3,2,2026-08-07T18:39:23.944500
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",15,15,10,26,94,2.5,2026-08-07T18:39:24.590563
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,28,94,4.1,2026-08-07T18:39:25.236749
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,26,94,1.8,2026-08-07T19:43:56.661967
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",13,13,9,29,83,0.5,2026-08-07T19:43:57.245516
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",7,7,5,28,88,1,2026-08-07T19:43:57.831829
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",32,32,,26,94,1.8,2026-08-07T19:43:58.415009
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,46,50,26.5,81.6,2,2026-08-07T19:43:58.997409
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",15,10,15,28.4,85.3,2,2026-08-07T19:43:59.589776
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",14,14,9,26,94,1.8,2026-08-07T19:44:00.186083
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,28,88,4.1,2026-08-07T19:44:00.771379
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,26,94,1.5,2026-08-07T20:29:30.368399
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,8,29,74,0.5,2026-08-07T20:29:30.813054
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",7,7,5,28,88,1.5,2026-08-07T20:29:31.259891
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",32,32,,26,94,1.5,2026-08-07T20:29:31.707990
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,45,50,26.5,81.6,2,2026-08-07T20:29:32.152500
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",15,10,15,28.4,85.3,2,2026-08-07T20:29:32.597170
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",13,13,9,26,94,1.5,2026-08-07T20:29:33.042833
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",5,,5,28,94,3.6,2026-08-07T20:29:33.487068
hanoi,"Hanoi, Vietnam (Hà Nội)",11,11,5,26,97,1.2,2026-08-07T21:28:24.253286
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",10,10,8,29,72,0.7,2026-08-07T21:28:24.699677
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",6,6,4,27.5,85.5,1.5,2026-08-07T21:28:25.145720
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",32,32,,26,97,1.2,2026-08-07T21:28:25.605360
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,44,50,26.5,81.6,2,2026-08-07T21:28:26.049784
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",17,11,17,28.4,85.3,2,2026-08-07T21:28:26.501565
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",13,13,8,26,97,1.2,2026-08-07T21:28:26.999273
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,27,100,3,2026-08-07T21:28:27.444217
hanoi,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",127,127,,28,95,1.5,2026-08-07T22:24:49.415461
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,8,28.5,76,0.5,2026-08-07T22:24:49.858064
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",6,6,4,27,88,1.5,2026-08-07T22:24:50.301821
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",32,32,,27,94,2,2026-08-07T22:24:50.746312
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,43,50,26.5,81.6,2,2026-08-07T22:24:51.189567
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",17,12,17,28.4,85.3,2,2026-08-07T22:24:51.632750
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",9,9,6,26.5,97,1.5,2026-08-07T22:24:52.074920
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,27,100,3,2026-08-07T22:24:52.519214
hanoi,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",125,125,,27,92,2,2026-08-07T23:24:53.289606
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",14,14,9,28,78,0.2,2026-08-07T23:24:53.842588
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",6,6,4,27,85.5,0.5,2026-08-07T23:24:54.395174
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",32,32,,26,94,2.5,2026-08-07T23:24:54.949622
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,42,50,26.5,81.6,2,2026-08-07T23:24:55.503531
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",18,14,18,28.4,85.3,2,2026-08-07T23:24:56.055264
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",8,8,5,26,94,2.5,2026-08-07T23:24:56.616845
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,27,100,3.6,2026-08-07T23:24:57.170215
hanoi,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",106,106,,29,87,3.3,2026-08-08T00:52:25.753094
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",17,17,13,29,74,1,2026-08-08T00:52:26.210152
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",6,6,4,27,83,1,2026-08-08T00:52:26.673081
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",32,32,,27,88,3,2026-08-08T00:52:27.137079
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",49,41,49,26.5,81.6,2,2026-08-08T00:52:27.597624
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",19,14,19,28.4,85.3,2,2026-08-08T00:52:28.056892
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",8,8,5,27,88,3,2026-08-08T00:52:28.517015
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,28,94,3.6,2026-08-08T00:52:28.981048
hanoi,"United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",95,95,,29,85,4.6,2026-08-08T02:50:03.695350
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",10,10,8,30.5,76.5,0.5,2026-08-08T02:50:04.282378
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",15,15,12,29,76.5,0.5,2026-08-08T02:50:04.883072
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",100,100,,29,83,4.1,2026-08-08T02:50:05.468683
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",50,42,50,26.2,91.5,4,2026-08-08T02:50:06.052224
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",13,9,13,28.4,85.3,2,2026-08-08T02:50:06.643384
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",6,6,4,29,83,4.1,2026-08-08T02:50:07.228994
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,31,74,5.1,2026-08-08T02:50:07.813123
hanoi,"Hanoi, Vietnam (Hà Nội)",4,4,5,29.5,81,4.6,2026-08-08T04:04:06.149099
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",10,10,8,31.5,72,1,2026-08-08T04:04:06.609292
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",12,12,12,32,61,1.2,2026-08-08T04:04:07.065810
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",151,151,,29.5,81,4.6,2026-08-08T04:04:07.522309
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",54,44,54,26.2,91.5,4,2026-08-08T04:04:07.977973
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",11,8,11,28.4,85.3,2,2026-08-08T04:04:08.440107
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",6,6,4,31,74,4.6,2026-08-08T04:04:08.895317
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",4,,4,31,74,6.1,2026-08-08T04:04:09.357155
hanoi,"Hanoi, Vietnam (Hà Nội)",6,6,5,32.5,68,5.4,2026-08-08T05:34:47.069897
da-nang,"Da Nang, Vietnam (TP Đà Nẵng)",11,11,9,31.5,70,1.5,2026-08-08T05:34:47.525934
hue,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",11,11,10,32.5,57,2.5,2026-08-08T05:34:47.996702
thai-nguyen,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",156,156,,32.5,68,5.4,2026-08-08T05:34:48.456344
quang-ninh,"Quảng Ninh/K11 - Minh Thành, Vietnam",54,48,54,30.3,74.2,4,2026-08-08T05:34:48.912203
ha-tinh,"Hà Tĩnh/Trạm Kỳ Phương, Vietnam",14,8,14,29.2,89,2,2026-08-08T05:34:49.369150
viet-tri,"Viet Tri, Vietnam (Tp Việt Trì)",8,8,5,32.5,68,5.4,2026-08-08T05:34:49.825708
ho-chi-minh,"Tây Ninh/Thị xã Tràng Bảng, Vietnam",3,,3,32,70,5.6,2026-08-08T05:34:50.280741
